,Unnamed: 0,2012.0,0,1,int_id
1,10025.0,0.6270349505201751,40.71165,-73.96723,10025
12,1025.0,3.9483707347732553,40.80208,-73.93406,1025
29,1051.0,0.4649349544022938,40.81057,-73.96215,1051
31,10550.0,0.6135069511242139,40.753890000000006,-73.91651,10550
36,10668.0,1.0143289175785055,40.71669,-73.97804000000001,10668
41,10729.0,0.950007264649296,40.7091,-73.94008000000001,10729
68,11071.0,1.3550600240418629,40.71667,-73.95205,11071
69,11080.0,0.2746653384119082,40.847559999999994,-73.93804,11080
84,11243.0,0.6626216648323449,40.83527,-73.94386999999999,11243
86,11252.0,0.33898361542852395,40.70749,-73.94152,11252
90,11287.0,0.2748170443223166,40.741170000000004,-73.88011,11287
112,11656.0,0.2631227664338025,40.76265,-73.92594,11656
116,11752.0,0.41792347037039335,40.827059999999996,-73.94986,11752
124,11879.0,0.3830052878018013,40.71168,-73.96495999999999,11879
125,1190.0,1.0979397174947128,40.75956,-73.90649,1190
135,12023.0,1.000139979433308,40.735409999999995,-73.95241999999999,12023
163,12603.0,0.2774099655296718,40.82633,-73.93845999999999,12603
233,13656.0,0.3806977144995705,40.72568,-73.85727,13656
238,13763.0,0.6063460337659021,40.76502,-73.91739,13763
239,13770.0,0.3673054732801462,40.798809999999996,-73.94782,13770
276,144.0,6.162557011760599,40.71903,-73.94595,144
287,14631.0,0.5099701220211634,40.82134,-73.95404,14631
314,15286.0,0.6642861075047526,40.76979,-73.91683,15286
325,15628.0,0.4056583595017853,40.75476,-73.92132,15628
327,15683.0,0.4155155482556319,40.71206,-73.96614,15683
331,1574.0,1.809755605917386,40.70749,-73.96606,1574
348,16220.0,0.7478120548881966,40.741929999999996,-73.9538,16220
356,16296.0,0.6014347647208811,40.84929,-73.93963000000001,16296
367,16438.0,0.4631244165575299,40.87225,-73.91946,16438
371,16460.0,7.321938985175798,40.7503,-73.94314,16460
412,17048.0,0.4843224800879302,40.73015,-73.97456,17048
450,17694.0,0.3131482299565984,40.85179,-73.9301,17694
460,1795.0,4.926581120451734,40.719770000000004,-73.96231,1795
464,18046.0,1.1248204094739542,40.867020000000004,-73.92311,18046
482,18325.0,0.4534371598622087,40.87104,-73.91575,18325
485,18443.0,0.5992364321382107,40.702909999999996,-73.98111999999999,18443
486,18445.0,0.6422647668891623,40.7189,-73.97485,18445
498,18659.0,0.8910393067348572,40.764720000000004,-73.92425,18659
504,18773.0,0.4929853718611077,40.75141,-73.93755999999999,18773
515,18983.0,240.6652383421113,40.714859999999994,-73.97662,18983
541,19513.0,2.5299018182685318,40.711059999999996,-73.94211,19513
545,19622.0,0.2854368329926418,40.71197,-73.96103000000001,19622
554,19764.0,3.4724643749209427,40.71817,-73.97685,19764
558,19840.0,6.722593982146376,40.803020000000004,-73.93630999999999,19840
569,19998.0,0.4856259140801915,40.8185,-73.94147,19998
573,20073.0,0.5476888740414223,40.85241,-73.94134,20073
579,20151.0,4.162435434223285,40.7206,-73.95475,20151
588,2026.0,2.561568099245348,40.719390000000004,-73.94478000000001,2026
602,20424.0,1.5519106934394666,40.70953,-73.96403000000001,20424
606,2045.0,1.2428000724926922,40.70062,-73.98974,2045
612,20590.0,0.3411644513800605,40.71162,-73.96499,20590
635,21026.0,1.5231338203356786,40.72185,-73.84505,21026
651,2142.0,0.3175468521106961,40.86889,-73.91759,2142
655,21476.0,33.10338409340087,40.714890000000004,-73.97669,21476
663,21605.0,1.3557482963433272,40.70303,-73.98465999999999,21605
667,21705.0,1.5498704252384656,40.66173,-73.96077,21705
692,22264.0,0.5732824691107978,40.75694,-73.93463,22264
701,22371.0,3.65479060023936,40.7414,-73.95352,22371
702,22385.0,0.6742405339663659,40.70155,-73.98764,22385
703,224.0,2.9905293010003087,40.75291,-73.94555,224
732,22936.0,0.4596315502923993,40.794909999999994,-73.94856,22936
736,23080.0,0.3244963051004146,40.86738,-73.92641,23080
750,23403.0,4.37759951422229,40.700559999999996,-73.98974,23403
785,24088.0,0.5572604616985304,40.88748,-73.90382,24088
786,24090.0,0.7562631273195575,40.74302,-73.9518,24090
791,24214.0,0.7225660854924836,40.7968,-73.94718,24214
804,24415.0,0.582250650965273,40.84721,-73.93978,24415
825,2485.0,0.4770498084773838,40.82832,-73.95091,2485
834,24969.0,0.2755460469344371,40.77102,-73.91359,24969
854,25370.0,1.0729465211380624,40.7133,-73.96741999999999,25370
877,25724.0,15.20374491392949,40.71738,-73.95217,25724
891,25954.0,1.7530113043605802,40.797959999999996,-73.93202,25954
911,26213.0,0.8764128087129064,40.87101,-73.91925,26213
917,2641.0,0.5224696237527606,40.84883,-73.94015999999999,2641
930,26687.0,1.7208024439417136,40.79907,-73.95538,26687
933,26742.0,5.187868394160813,40.79891,-73.94563000000001,26742
937,2682.0,0.5693570924264879,40.84904,-73.93895,2682
944,26906.0,1.7595944448215408,40.85261,-73.93654000000001,26906
974,27387.0,1.6949570511611176,40.73036,-73.95251,27387
991,27820.0,0.7461604980901686,40.7134,-73.98219,27820
992,27853.0,0.2962567279433632,40.7413,-73.88028,27853
993,27875.0,2.4518008126188446,40.71448,-73.97671,27875
999,27928.0,0.29919491085734795,40.828309999999995,-73.94895,27928
1017,28277.0,1.6493895147751934,40.81824,-73.95272,28277
1029,28433.0,1.9010578854918576,40.71389,-73.9598,28433
1051,28941.0,1.5842959632255655,40.70127,-73.98770999999999,28941
1061,29079.0,1.9036597590350175,40.75393,-73.93524000000001,29079
1077,29399.0,0.30598197818215,40.71993,-73.97875,29399
1088,2959.0,0.9895807424357425,40.75223,-73.9391,2959
1090,29593.0,2.029695284194285,40.71918,-73.96425,29593
1098,29715.0,0.7056680960124011,40.803740000000005,-73.95586,29715
1126,30199.0,5.659988957408316,40.847390000000004,-73.94069,30199
1134,30314.0,7.1257276436272505,40.76667,-73.93039,30314
1154,30609.0,0.7262123720310659,40.70306,-73.98111,30609
1165,30803.0,0.7290352188452938,40.8331,-73.94065,30803
1169,30882.0,0.6260603669020968,40.83695,-73.9401,30882
1173,30909.0,0.9224754232756394,40.73485,-73.95267,30909
1201,31512.0,0.958233768808896,40.766870000000004,-73.92029000000001,31512
1207,31629.0,0.5372473659256969,40.834540000000004,-73.93897,31629
1212,31675.0,0.5933132965277064,40.73256,-73.9521,31675
1222,31827.0,10.484853877559482,40.741240000000005,-73.95329,31827
1225,3187.0,3.4244689830076367,40.719229999999996,-73.9629,3187
1227,31875.0,1.1613198457786145,40.7117,-73.98485,31875
1247,32251.0,0.6841722901319599,40.87015,-73.91696999999999,32251
1255,32478.0,0.6051485647772854,40.83806,-73.94664,32478
1265,32646.0,1.8184785345656664,40.79377,-73.93411,32646
1307,3342.0,7.174816589446567,40.77115,-73.91679,3342
1310,33503.0,0.584952183985791,40.79943,-73.95146,33503
1320,33730.0,4.8070204815911595,40.80209,-73.9338,33730
1323,33760.0,0.2838389601715932,40.85248,-73.9296,33760
1361,34467.0,2.145144041880997,40.71823,-73.97474,34467
1400,35187.0,1.2715211163576212,40.83286,-73.94203,35187
1409,35381.0,0.9006658082747625,40.715,-73.95947,35381
1410,3542.0,0.5296981184392389,40.81843,-73.94129000000001,3542
1418,35580.0,0.3135751908478725,40.70603,-74.00296,35580
1444,36127.0,4.349076081867027,40.731159999999996,-73.9517,36127
1454,36420.0,0.3051011725356447,40.7234,-73.93401,36420
1482,36816.0,0.5334219711774304,40.80079,-73.93491999999999,36816
1487,36935.0,0.272358764533321,40.70223,-73.98118000000001,36935
1491,36950.0,2.9271532099436657,40.818090000000005,-73.96048,36950
1508,37196.0,10.985382711049747,40.78393,-73.94422,37196
1516,37445.0,2.1541154447655044,40.71233,-73.96785,37445
1518,37476.0,0.804772694482083,40.82414,-73.93713000000001,37476
1519,37494.0,1.3325711295988794,40.71345,-73.98170999999999,37494
1522,37589.0,18.67266575614743,40.70063,-73.98692,37589
1533,37805.0,0.5341815845085185,40.7117,-73.96631,37805
1545,38035.0,0.2628696035938378,40.748259999999995,-73.95223,38035
1546,38068.0,0.3895981872798473,40.79994,-73.93557,38068
1548,38120.0,0.2869670096886059,40.79822,-73.93115,38120
1551,38167.0,1.0699044849982098,40.81261,-73.95683000000001,38167
1573,38521.0,0.7452702420693362,40.75935,-73.9198,38521
1591,38761.0,0.2691136643349117,40.82359,-73.95532,38761
1596,38822.0,0.5599986732440982,40.748979999999996,-73.93968000000001,38822
1597,38824.0,0.4225895411566458,40.82484,-73.93684,38824
1609,39057.0,0.32920236201241004,40.80195,-73.95355,39057
1620,39323.0,0.5535048316669855,40.72345,-73.94032,39323
1633,39755.0,0.3598726575545477,40.80249,-73.95678000000001,39755
1642,3988.0,0.9576804352180872,40.6609,-73.96088,3988
1645,39980.0,2.202159463550616,40.71667,-73.98331999999999,39980
1654,40125.0,1.0461731367417682,40.74208,-73.95725999999999,40125
1665,40301.0,0.9996082676405882,40.72063,-73.95924000000001,40301
1669,40345.0,0.5185501264010364,40.85248,-73.9415,40345
1676,4042.0,0.7798945932358581,40.834109999999995,-73.94112,4042
1683,40558.0,0.913753454210568,40.81282,-73.95730999999999,40558
1686,40581.0,1.0275873984427513,40.82827,-73.9508,40581
1692,4070.0,0.2825020328927941,40.80186,-73.95724,4070
1694,40733.0,0.30098891607206313,40.70839,-73.93996,40733
1695,40748.0,0.4048786042839976,40.79616,-73.94765,40748
1707,40875.0,0.4890800311284038,40.70136,-73.98285,40875
1717,40980.0,0.7588911235160696,40.74334,-73.95109000000001,40980
1739,4138.0,0.8682125435385275,40.82363,-73.9459,4138
1749,41524.0,0.6650684742187718,40.848690000000005,-73.93921999999999,41524
1752,41572.0,1.0669496329799086,40.72377,-73.95079,41572
1758,41644.0,1.0576667265446638,40.72702,-73.94568000000001,41644
1773,41815.0,2.185330559697604,40.727990000000005,-73.94999,41815
1788,42379.0,0.3056733890676131,40.732009999999995,-73.95794000000001,42379
