int_id,2011change,2012change,2013change,y,x,2010.0,2011.0,2012.0,2013.0
10550.0,0.6372181327682023,,,40.753890000000006,-73.91651,1381.0,1248.0,1341.0,1361.0
10554.0,,,0.17366987407604206,40.7386,-73.87743,725.0,712.0,872.0,674.0
10569.0,,,0.2556891445420262,40.807190000000006,-73.92428000000001,648.0,832.0,1123.0,895.0
10598.0,0.12415810066305566,,,40.69317,-73.97086,5524.0,6341.0,6904.0,6814.0
10601.0,0.2162995103906895,,,40.69983,-73.93696,955.0,856.0,1050.0,1131.0
10608.0,,4.712033976236354,,40.79546,-73.94603000000001,1536.0,1953.0,2547.0,2382.0
10621.0,0.1009456197234424,,,40.63496,-74.02039,373.0,275.0,280.0,294.0
10629.0,0.1587365071121698,,,40.792190000000005,-73.93819,4330.0,5022.0,5536.0,5022.0
10650.0,0.14270008678878576,0.8345440800271962,0.17885452309766037,40.708009999999994,-73.95671999999999,3038.0,3423.0,4840.0,5200.0
10659.0,0.23227404210700797,,0.15616584130256794,40.81208,-73.93603,3385.0,3997.0,4114.0,4323.0
10660.0,0.1301809847326314,0.24744178174764242,,40.76095,-73.91629,3176.0,3570.0,4094.0,3815.0
10668.0,0.4046302680072804,0.43406344250020457,,40.71669,-73.97804000000001,1306.0,1222.0,1034.0,1100.0
10669.0,,,14.739666856771558,40.70711,-73.95671999999999,1524.0,1611.0,1972.0,2472.0
10674.0,,,0.13804717773242192,40.6936,-73.99274,5102.0,4876.0,5171.0,5450.0
10678.0,,0.16047489480935928,,40.70005,-73.99176,5761.0,5917.0,6680.0,5826.0
10679.0,,0.31216698475645166,0.19918839842286817,40.80503,-73.95276,2833.0,2750.0,3125.0,3265.0
10689.0,0.25031527374102835,0.710176332608611,0.1558858188906298,40.83722,-73.9427,2642.0,3050.0,4002.0,4197.0
10728.0,,,0.578870384124339,40.75888,-73.9301,2442.0,2527.0,2248.0,2362.0
10729.0,,0.835681901918067,0.6301424197447942,40.7091,-73.94008000000001,2550.0,2766.0,3630.0,4560.0
1073.0,,6.741526167924573,,40.67705,-73.98003,8883.0,9738.0,9089.0,9058.0
10750.0,,0.5462775399463711,,40.70261,-73.99261,2770.0,2850.0,3493.0,2913.0
10763.0,5.868807907663962,,,40.75566,-73.88444,1709.0,1710.0,2088.0,1892.0
10782.0,6.819999608225193,0.21102973507395517,,40.694790000000005,-73.95430999999999,1721.0,1790.0,1865.0,1975.0
10796.0,0.49037329085070724,0.26383771126667854,,40.77234,-73.90533,2124.0,2468.0,2723.0,2379.0
108.0,,,0.22290623943378085,40.72459,-73.9745,3038.0,3075.0,3215.0,3399.0
10807.0,,,0.1924185179167106,40.739509999999996,-73.89983000000001,558.0,672.0,906.0,694.0
10821.0,,,9.065233745225227,40.778690000000005,-73.91899000000001,1369.0,1483.0,1915.0,1703.0
10825.0,1.0598284400802207,,0.43872737510300364,40.68238,-73.96161,2020.0,2480.0,2608.0,2821.0
10826.0,,0.9613419862847057,1.0123522839072865,40.74703,-73.89563000000001,1534.0,1747.0,1738.0,1500.0
